date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1984-12-02,7.0,0.0,13.0,10.1,7.8,6.6,6.0,100600.0,0.0,1,-0.46355027090285117,0.8860706215341376,-0.46472317204376834,0.8854560256532098,3.4999999999999996,2.847806173179557,100156.66666666667,400.7908847933156,6.0,1.000000000000029
1984-12-03,7.0,0.0,13.0,11.2,7.6,5.0,1.9,100930.0,0.0,1,-0.44822934174041057,0.8939185965192569,-0.354604887042536,0.9350162426854146,2.766666666666666,2.8988503468328437,100450.0,570.0000000000658,6.666666666666667,0.5773502691896866
1984-12-04,6.0,0.5,19.0,11.5,9.0,6.7,0.4,101760.0,0.0,1,-0.43277559255043163,0.9015016841318836,-0.354604887042536,0.9350162426854146,2.766666666666666,2.8988503468328437,101096.66666666667,597.6899976855946,6.666666666666667,0.5773502691896866
1984-12-05,8.0,0.0,13.0,9.5,10.2,9.0,9.8,101730.0,0.0,0,-0.41719360261231697,0.9088176373395027,-0.354604887042536,0.9350162426854146,4.033333333333333,5.050082507576778,101473.33333333333,470.7794954470778,7.0,1.0000000000000382
1984-12-06,5.0,3.3,36.0,11.4,7.8,6.2,0.0,102330.0,0.0,0,-0.4014879892059729,0.915864288267287,-0.354604887042536,0.9350162426854146,3.4,5.546169849544782,101940.0,338.08283008764846,6.333333333333333,1.5275252316519679
1984-12-07,4.0,4.5,41.0,9.7,8.1,4.8,0.0,102850.0,0.0,1,-0.38566340624360745,0.9226395488404874,-0.354604887042536,0.9350162426854146,3.266666666666666,5.658032638058296,102303.33333333333,560.4759881862997,5.666666666666667,2.081665999466145
1984-12-08,7.0,0.2,16.0,9.0,6.1,2.5,0.7,102720.0,0.0,0,-0.3697245428906732,0.9291414114031742,-0.354604887042536,0.9350162426854146,0.23333333333333273,0.4041451884320809,102633.33333333333,270.6165799307417,5.333333333333333,1.5275252316519616
1984-12-09,4.0,6.3,48.0,7.8,5.9,2.8,0.0,103260.0,0.0,1,-0.3536761221763721,0.935367949313148,-0.354604887042536,0.9350162426854146,0.23333333333333273,0.4041451884320809,102943.33333333333,281.83919765251557,5.0,1.7320508075688885
1984-12-10,3.0,3.1,34.0,5.1,4.8,1.7,0.1,103190.0,0.0,1,-0.33752289959411347,0.941317317512847,-0.23931566428755785,0.9709418174260521,0.26666666666666605,0.3785938897193185,103056.66666666667,293.65512652329704,4.666666666666667,2.0816659994661406
1984-12-11,0.0,0.0,12.0,7.5,2.4,-0.3,0.1,102780.0,0.0,0,-0.32126966169236515,0.9469877530760751,-0.23931566428755785,0.9709418174260521,0.06666666666666608,0.057735026914308034,103076.66666666667,259.2939130280799,2.3333333333333335,2.081665999466131
